image_id,dog_visible,face_clear,no_duplicate_face_parts,no_extra_legs,one_dog,no_mirror,no_multi_panel,pastel_style,no_realistic_rendering,human_prompt_consistency,human_face_clear,prompt_reflected,brightness_ok,sharpness_ok,pastel_color_ok,time_palette_ok,place_context_ok,no_text,reason_dog_visible,reason_face_clear,reason_no_duplicate_face_parts,reason_no_extra_legs,reason_one_dog,reason_no_mirror,reason_no_multi_panel,reason_pastel_style,reason_no_realistic_rendering,reason_human_prompt_consistency,reason_human_face_clear,reason_prompt_reflected,reason_brightness_ok,reason_sharpness_ok,reason_pastel_color_ok,reason_time_palette_ok,reason_place_context_ok,reason_no_text,total_score,raw_level,caps_applied,final_level,input_tokens,output_tokens
20260415_100820_048b3f,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,이미지에 강아지가 명확히 보인다.,강아지 얼굴이 왜곡 없이 선명하다.,"눈, 코, 귀가 중복되지 않았다.",다리가 추가 생성되지 않았다.,이미지에 강아지는 한 마리만 있다.,반사나 거울 이미지가 없다.,단일 장면으로 구성되어 있다.,한국식 파스텔 그림책 스타일이다.,사실적 렌더링 없이 부드러운 일러스트이다.,사람이 등장하지 않는다.,사람이 등장하지 않는다.,강아지가 목욕하는 장면이 잘 반영되었다.,이미지의 밝기가 적절하다.,디테일이 충분히 선명하다.,색감이 파스텔 범위에 잘 맞는다.,실내 배경의 조명과 팔레트가 적절하다.,실내 목욕 장면과 배경이 잘 연결된다.,이미지에 텍스트가 삽입되지 않았다.,16,L4,,L4,2771,534
20260415_101812_e8a482,1,1,1,1,1,1,0,1,1,,,1,1,1,1,1,1,1,이미지에 강아지가 명확히 나타나 있습니다.,강아지 얼굴이 선명하고 명확하게 표현되어 있습니다.,"눈, 코, 귀가 중복되지 않고 자연스럽게 그려져 있습니다.",다리 개수가 적절하게 표현되어 있으며 추가되지 않았습니다.,이미지에 강아지는 한 마리만 있습니다.,거울이나 반사되는 이미지는 보이지 않습니다.,이미지가 두 부분으로 분할되어 보입니다.,한국식 파스텔 그림책 스타일로 표현되었습니다.,사실적 렌더링 요소가 없습니다.,사람이 없는 이미지입니다.,사람이 포함되어 있지 않으므로 해당 없음.,"""목욕 후 뽀송한 콩이""라는 장면이 잘 반영되었습니다.",밝기가 적절하게 조절되어 있습니다.,이미지 전반이 선명하고 디테일이 명확합니다.,색상이 파스텔 범위 안에서 잘 표현되었습니다.,"시간대를 특정하기는 어렵지만, 색조가 자연스럽습니다.",목욕탕 환경을 잘 반영하고 있습니다.,텍스트가 삽입되지 않았습니다.,15,L4,no_multi_panel->L1,L1,2768,568
20260415_104723_a91139,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,이미지에 강아지가 명확히 표현되어 있다.,강아지 얼굴이 선명하고 디테일이 잘 표현되어 있다.,"눈, 코, 귀가 중복 없이 자연스럽게 그려져 있다.",다리 개수와 위치가 적절하며 추가 생성되지 않았다.,이미지에는 하나의 강아지만 존재한다.,거울이나 반사된 이미지가 보이지 않는다.,단일 장면으로 구성되어 있다.,파스텔 그림책 스타일로 잘 표현되어 있다.,사실적 렌더링은 보이지 않는다.,사람이 없어서 평가할 수 없다.,사람이 없어서 평가할 수 없다.,강아지가 목욕하는 장면이 프롬프트와 잘 일치한다.,밝기가 적절하고 조화롭다.,이미지가 전반적으로 선명하다.,색감이 부드럽고 파스텔 톤으로 되어 있다.,낮의 밝은 느낌이 팔레트에 잘 반영되어 있다.,강아지가 목욕 중인 욕실 배경이 잘 표현되어 있다.,텍스트가 이미지에 삽입되지 않았다.,16,L4,,L4,2769,570
20260415_105503_770317,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,강아지가 명확하게 보입니다.,강아지 얼굴이 선명하게 표현되었습니다.,얼굴의 이목구비가 올바르게 표현되었습니다.,다리는 4개로 자연스럽게 표현되었습니다.,이미지에 정확히 한 마리의 강아지가 있습니다.,반사나 거울 이미지가 없습니다.,단일 장면으로 표현되었습니다.,한국-일본식 파스텔 그림책 스타일이 잘 반영되었습니다.,사실적 렌더링이 없습니다.,사람이 이미지에 없습니다.,사람이 이미지에 없습니다.,프롬프트의 핵심 장면인 공원에서 뛰노는 강아지 모습이 잘 반영되었습니다.,밝기가 적절하게 표현되었습니다.,이미지가 전체적으로 선명하고 디테일이 살아 있습니다.,색감이 파스텔 범위에 잘 맞습니다.,낮의 분위기에 맞는 팔레트입니다.,배경이 공원으로 적절하게 표현되었습니다.,텍스트가 삽입되어 있지 않습니다.,16,L4,,L4,2767,547
20260415_113143_64da8a,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,강아지가 명확하게 이미지에 표현됨.,강아지의 얼굴이 선명하고 이목구비가 뚜렷함.,강아지의 얼굴에 중복된 부분이 없음.,강아지 다리 개수가 적절하고 자연스러움.,이미지에 강아지가 하나만 있음.,반사나 거울 이미지가 존재하지 않음.,이미지가 하나의 장면으로 구성됨.,파스텔 그림책 스타일로 표현됨.,사실적 렌더링 요소가 없음.,프롬프트와 충돌이 없음.,인간의 얼굴이 식별되지 않음.,프롬프트의 핵심 장면이 잘 반영됨.,밝기가 적절함.,이미지가 전반적으로 선명함.,색감이 파스텔 범위 내에 있음.,주간 팔레트와 잘 어울림.,실내 배경이 적절하게 표현됨.,이미지에 텍스트가 삽입되어 있지 않음.,16,L4,,L4,2767,547
20260415_135430_4dcd30,1,1,1,1,1,1,1,1,1,,,0,1,1,1,1,1,1,강아지가 명확히 이미지 중앙에 위치하고 있음.,"강아지의 얼굴이 선명하며 눈, 코, 입이 명확함.","눈, 코, 귀가 중복되지 않음.","하반신이 잘려 보이나, 부자연스럽지 않음.",이미지 내 강아지는 정확히 1마리.,반사나 거울 이미지는 없음.,이미지는 단일 장면으로 구성됨.,한국식 파스텔 그림책 스타일이 잘 반영됨.,사실적 렌더링이 아닌 일러스트 방식.,프롬프트에 사람은 언급되지 않음.,사람이 없으므로 해당 없음.,프롬프트의 '친구들'은 표현되지 않음.,밝기가 적절하여 이미지가 잘 보임.,이미지가 전체적으로 선명함.,색감이 파스텔 톤으로 잘 표현됨.,밝은 색상 팔레트가 적절히 사용됨.,실내 생일 파티 분위기가 표현됨.,이미지에 텍스트가 삽입되지 않았음.,15,L4,prompt_reflected->L3,L3,2767,547
20260415_150630_acd529,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,강아지가 중앙에 명확하게 표현되어 있습니다.,강아지의 얼굴이 선명하고 디테일하게 그려져 있습니다.,"눈, 코, 귀가 중복 없이 자연스럽게 묘사되었습니다.",강아지의 다리 개수가 정확합니다.,이미지에는 강아지가 한 마리만 있습니다.,반사 또는 거울 이미지는 없습니다.,이미지가 단일 장면으로 표현되어 있습니다.,파스텔 그림책 스타일로 잘 표현되었습니다.,사실적 렌더링 없이 일러스트 스타일로 그려졌습니다.,이미지에 사람이 등장하지 않습니다.,이미지에 사람이 등장하지 않습니다.,프롬프트의 강아지 산책 장면이 잘 반영되었습니다.,이미지의 밝기가 적절합니다.,이미지가 선명하고 디테일이 명확합니다.,파스텔 톤의 색감이 잘 표현되어 있습니다.,낮의 햇살이 드러나는 팔레트로 일치합니다.,공원 배경이 적절하게 표현되었습니다.,이미지에 텍스트가 삽입되지 않았습니다.,16,L4,,L4,2768,564
20260415_151718_79edfe,1,1,1,1,1,1,1,1,1,,,0,1,1,1,1,1,1,강아지가 명확히 보이며 주요 요소로 표현됨.,강아지의 얼굴이 선명하고 자연스럽게 표현됨.,"강아지의 눈, 코, 귀 등이 정상적으로 그려짐.",강아지의 다리 개수가 자연스럽고 정상적임.,이미지에 강아지는 한 마리만 있음.,반사나 거울 이미지가 없음.,단일 장면으로 구성된 이미지임.,파스텔 그림책 스타일로 잘 표현됨.,사실적 렌더링이 섞여 있지 않음.,사람이 포함되지 않음.,사람이 등장하지 않음.,비 오는 날 설정이 반영되지 않음.,이미지가 적절한 밝기로 표현됨.,이미지가 충분히 선명하게 표현됨.,색감이 파스텔 톤으로 적절함.,실내 장면과 조화로운 밝기와 팔레트를 가짐.,집 안 배경이 잘 표현되어 있음.,텍스트가 삽입되지 않음.,15,L4,prompt_reflected->L3,L3,2767,547
20260415_152316_c486a4,1,1,1,1,0,1,1,1,1,1.0,1.0,1,1,1,1,1,1,0,이미지에 강아지가 명확하게 보입니다.,강아지 얼굴의 이목구비가 선명합니다.,특별히 중복된 얼굴 부위가 보이지 않습니다.,다리가 추가 생성되지 않고 자연스럽습니다.,강아지가 두 마리 이상 보입니다.,반사나 거울 효과가 없습니다.,단일 장면으로 구성되어 있습니다.,파스텔 그림책 스타일로 표현되었습니다.,사진이나 3D 렌더링 느낌이 없습니다.,프롬프트와 사람의 표현이 일치합니다.,사람 얼굴이 명확하고 식별 가능합니다.,애견카페에서의 신나는 시간이 잘 표현되었습니다.,밝기가 적절하여 보기 좋습니다.,이미지가 충분히 선명합니다.,색감이 파스텔 범위 내에 있습니다.,시간대와 팔레트가 잘 맞습니다.,애견카페 배경이 잘 표현되었습니다.,이미지에 'DOG CAFE'라는 텍스트가 포함되어 있습니다.,16,L4,"one_dog->L1,no_text->L3",L1,2767,541
20260415_152612_8817b3,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,강아지가 명확하게 표현되어 있음.,강아지 얼굴의 이목구비가 선명하고 뚜렷함.,얼굴에 중복된 부분이 없음.,다리가 추가 생성되지 않고 자연스럽게 표현됨.,이미지에 한 마리의 강아지만 있음.,반사나 거울 이미지가 없음.,단일 장면으로 구성되어 있음.,한국식 파스텔 그림 스타일이 잘 구현됨.,사실적 렌더링이 없이 일러스트로 표현됨.,프롬프트에 사람에 대한 정보가 없음.,사람이 등장하지 않음.,프롬프트와 장면이 잘 반영됨.,밝기가 적절하게 표현되어 있음.,이미지가 전반적으로 선명함.,색감이 파스텔 범위에 적절히 있음.,시간과 관련된 팔레트가 적절하게 사용됨.,장소가 프롬프트와 일치하여 자연스러움.,이미지에 텍스트가 삽입되지 않았음.,16,L4,,L4,2764,552
