image_id,dog_visible,face_clear,no_duplicate_face_parts,no_extra_legs,one_dog,no_mirror,no_multi_panel,pastel_style,no_realistic_rendering,human_prompt_consistency,human_face_clear,prompt_reflected,brightness_ok,sharpness_ok,pastel_color_ok,time_palette_ok,place_context_ok,no_text,total_score,raw_level,caps_applied,final_level,clip_dog_score,clip_face_score,clip_pastel_score,clip_activity_score,clip_place_score,yolo_dog_count,cv_items_scored,error
20260415_100820_048b3f,1,1.0,1,1,,1,1,1,1,,,1,1,0,1,1,,1,13,L3,,L3,0.0515,0.024,0.0724,0.0962,,0,14,
20260415_101812_e8a482,1,1.0,1,1,,1,1,1,1,,,1,1,0,1,1,,1,13,L3,,L3,0.0241,0.0352,0.0652,0.101,,0,14,
20260415_104723_a91139,1,1.0,1,1,,1,1,1,1,,,1,1,0,1,1,,1,13,L3,,L3,0.0462,0.0138,0.0485,0.1146,,0,14,
20260415_105503_770317,1,1.0,1,1,,1,1,1,1,,,1,1,0,1,1,1.0,1,14,L4,,L4,0.0585,0.0088,0.0821,,0.0154,0,15,
20260415_113143_64da8a,1,1.0,1,1,,1,1,1,1,,,1,1,0,1,1,,1,13,L3,,L3,0.0392,0.019,0.1006,0.0637,,0,14,
20260415_135430_4dcd30,1,1.0,1,1,,1,1,1,1,,,1,1,0,1,1,,1,13,L3,,L3,0.0426,0.019,0.0999,0.0684,,0,14,
20260415_150630_acd529,1,1.0,1,1,,1,1,1,1,,,1,1,0,1,1,1.0,1,14,L4,,L4,0.0415,0.0127,0.096,0.0343,0.0687,0,15,
20260415_151718_79edfe,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,1.0,1,15,L4,,L4,0.0604,0.0086,0.0929,0.0506,0.0533,0,15,
20260415_152316_c486a4,1,1.0,1,1,,1,1,1,1,,,1,1,0,1,1,1.0,0,13,L3,no_text->L3,L3,0.033,0.0172,0.1051,,0.0947,0,15,
20260415_152612_8817b3,1,1.0,1,1,,1,1,1,1,,,1,1,0,1,1,,1,13,L3,,L3,0.0419,0.0078,0.0636,,,0,14,
20260415_153837_7f1a39,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0533,0.0023,0.0969,,,0,14,
20260415_154753_ad86dd,1,1.0,1,1,,1,1,1,1,,,1,1,0,1,1,,1,13,L3,,L3,0.0457,0.0199,0.0991,0.0137,,0,14,
20260415_155037_9b424a,1,1.0,1,1,,1,1,1,1,,,0,1,0,1,1,,1,12,L3,prompt_reflected->L3,L3,0.0579,0.016,0.1145,-0.0106,,0,14,
20260415_155306_cc40ae,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0358,0.0131,0.1244,,,0,14,
20260415_155815_491322,0,,1,1,,1,1,1,1,,,1,1,1,1,1,0.0,1,12,L3,dog_visible->L0,L0,0.0198,0.003,0.0952,0.0511,-0.0004,0,14,
20260415_160000_2c4900,1,1.0,1,1,,1,1,1,1,,,1,1,0,1,1,1.0,1,14,L4,,L4,0.0237,0.0137,0.1027,0.0801,0.0172,0,15,
20260416_092151_374074,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0374,0.0246,0.1273,,,0,14,
20260416_094954_58d95b,1,1.0,1,1,,1,1,1,1,,,0,1,1,1,1,,1,13,L3,prompt_reflected->L3,L3,0.0416,0.0186,0.0991,-0.0129,,0,14,
20260416_095043_edf837,1,0.0,1,1,,1,1,1,1,,,1,1,0,1,1,1.0,1,13,L3,face_clear->L2,L2,0.0355,-0.0008,0.12,,0.0435,0,15,
20260416_095108_341416,1,1.0,1,1,,1,1,1,1,,,0,1,0,1,1,,1,12,L3,prompt_reflected->L3,L3,0.0436,0.0278,0.0951,-0.0144,,0,14,
20260416_095133_56a45f,1,1.0,1,1,,1,1,1,1,,,1,1,0,1,1,,1,13,L3,,L3,0.0378,0.0019,0.1145,,,0,14,
20260416_095200_1b060d,1,1.0,1,1,1.0,1,1,1,1,,,1,0,1,1,1,,1,14,L4,,L4,0.038,0.0163,0.0931,0.0597,,1,15,
20260416_095226_eec7c5,1,1.0,1,1,,1,1,1,1,,,1,1,0,1,1,,1,13,L3,,L3,0.0341,0.0175,0.128,,,0,14,
20260416_095254_c66582,1,1.0,1,1,,1,1,1,1,,,1,1,0,1,1,,1,13,L3,,L3,0.0311,0.0182,0.0927,,,0,14,
20260416_095320_02b388,1,1.0,1,1,,1,1,1,1,,,1,1,0,1,1,1.0,1,14,L4,,L4,0.0381,0.023,0.1243,,0.0595,0,15,
20260416_095347_1c1f99,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0431,0.0164,0.1151,0.0136,,0,14,
20260416_095413_32bc9e,1,1.0,1,1,1.0,1,1,1,1,,,1,1,1,1,1,1.0,1,16,L4,,L4,0.0549,0.012,0.0956,0.0729,0.072,1,16,
20260416_095440_001e5e,1,1.0,1,1,,1,1,1,1,,,1,0,0,1,1,,1,12,L3,,L3,0.0245,0.0231,0.1164,0.0761,,0,14,
20260416_095507_49e27b,1,1.0,1,1,,1,1,1,1,,,1,1,0,1,1,,1,13,L3,,L3,0.0463,0.0135,0.1102,0.0257,,0,14,
20260416_095537_996595,1,1.0,1,1,1.0,1,1,1,1,,,1,1,1,1,1,,1,15,L4,,L4,0.0235,0.0214,0.108,,,1,15,
20260416_095601_54be30,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,0.0,1,14,L4,,L4,0.0315,0.0097,0.1086,0.017,-0.0263,0,15,
20260416_095626_9e9226,1,0.0,1,1,,1,1,1,1,,,1,1,0,1,1,,1,12,L3,face_clear->L2,L2,0.0518,-0.0063,0.0337,,,0,14,
20260416_095654_19fdb9,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0289,0.0141,0.1041,,,0,14,
20260416_095720_cf997e,1,1.0,1,1,,1,1,1,1,,,1,1,0,1,1,,1,13,L3,,L3,0.0394,0.0316,0.1248,,,0,14,
20260416_095746_b73eea,1,1.0,1,1,1.0,1,1,1,1,,,1,1,0,1,1,,1,14,L4,,L4,0.0353,0.0175,0.0929,,,1,15,
20260416_095815_7e1c3a,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.036,0.0217,0.115,0.0221,,0,14,
20260416_095839_7adf64,0,,1,1,,1,1,1,1,,,1,1,1,1,1,0.0,1,12,L3,dog_visible->L0,L0,-0.0021,0.016,0.0858,0.0397,-0.0218,0,14,
20260416_103755_8feeb8,1,1.0,1,1,,1,1,1,1,,,1,1,0,1,1,1.0,1,14,L4,,L4,0.0361,0.0085,0.1041,,0.0719,0,15,
20260416_103841_1f8d70,1,1.0,1,1,1.0,1,1,1,1,,,1,1,1,1,1,1.0,1,16,L4,,L4,0.0378,0.0136,0.1222,,0.0451,1,16,
20260416_103909_5fee36,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.037,0.0113,0.1408,0.0221,,0,14,
20260416_103934_44e77c,1,1.0,1,1,1.0,1,1,1,1,,,0,1,1,1,1,,1,14,L4,prompt_reflected->L3,L3,0.051,0.0204,0.0895,-0.0093,,1,15,
20260416_103959_4a15fe,1,1.0,1,1,,1,1,1,1,,,1,1,0,1,1,,1,13,L3,,L3,0.0368,0.0095,0.1119,0.0158,,0,14,
