image_id,dog_visible,face_clear,no_duplicate_face_parts,no_extra_legs,one_dog,no_mirror,no_multi_panel,pastel_style,no_realistic_rendering,human_prompt_consistency,human_face_clear,prompt_reflected,brightness_ok,sharpness_ok,pastel_color_ok,time_palette_ok,place_context_ok,no_text,total_score,raw_level,caps_applied,final_level,clip_dog_score,clip_face_score,clip_pastel_score,clip_activity_score,clip_place_score,yolo_dog_count,reason_face_clear,reason_one_dog,reason_prompt_reflected,reason_time_palette_ok,reason_no_mirror,reason_no_extra_legs,reason_pastel_style,reason_human_prompt_consistency,reason_no_duplicate_face_parts,reason_no_realistic_rendering,reason_human_face_clear,reason_place_context_ok,in_tokens,out_tokens
20260415_100820_048b3f,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,,1.0,1,0,1,1.0,1.0,1,15,L4,"""""",L4,0.0515,0.024,0.0724,0.0962,,0,강아지 얼굴이 선명하고 왜곡 없이 잘 표현되어 있다.,이미지에는 강아지가 정확히 1마리 그려져 있다.,프롬프트 내용인 목욕하는 장면이 잘 반영되어 있다.,이미지 팔레트가 낮의 느낌과 일치한다.,반사 이미지가 없다.,강아지의 다리 개수가 자연스럽게 잘 표현되어 있다.,한국-일본식 파스텔 그림책 스타일로 그려졌다.,사람이 나타나지 않아 해당 사항 없음.,"눈, 코, 귀가 중복 없이 정확하게 표현되어 있다.",사실적 렌더링 요소가 없다.,사람이 없기 때문에 해당 사항 없음.,목욕을 위한 장소와 배경이 잘 표현되어 있다.,1719,390
20260415_101812_e8a482,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,,1.0,1,0,1,1.0,1.0,1,15,L4,"""""",L4,0.0241,0.0352,0.0652,0.101,,0,강아지 얼굴이 선명하게 표현되어 있음.,이미지에 강아지는 한 마리만 있음.,프롬프트의 핵심 요소인 목욕 후 뽀송한 강아지가 잘 반영됨.,시간적인 요소와 팔레트의 불일치 없음.,반사나 거울 이미지가 없음.,다리 수는 정상적으로 잘 표현됨.,파스텔 그림책 스타일로 표현됨.,사람 없음.,"눈, 코, 귀가 정상적으로 하나씩 표현됨.",사실적 렌더링이 없이 일러스트 스타일로 표현됨.,사람 없음.,목욕 후의 상황과 장소가 잘 표현됨.,1716,367
20260415_104723_a91139,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,,1.0,1,0,1,1.0,1.0,1,15,L4,"""""",L4,0.0462,0.0138,0.0485,0.1146,,0,강아지 얼굴이 선명하게 표현되어 있다.,이미지에는 강아지가 정확히 한 마리만 있다.,강아지가 목욕하는 장면으로 프롬프트가 반영되었다.,낮 또는 실내 밝은 조명에 맞는 팔레트이다.,반사나 거울 이미지는 없다.,다리가 정상적으로 표현되었다.,한국-일본식 파스텔 그림책 스타일로 그려졌다.,사람이 등장하지 않아 해당 없음.,"눈, 코, 귀가 중복 생성되지 않았다.",사실적 렌더링이 혼입되지 않았다.,사람이 없으므로 해당 없음.,목욕탕 배경이 적절히 표현되었다.,1717,366
20260415_105503_770317,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,,1.0,1,0,1,1.0,1.0,1,15,L4,"""""",L4,0.0585,0.0088,0.0821,,0.0154,0,강아지 얼굴이 선명하고 왜곡되지 않음.,이미지에 강아지가 정확히 1마리임.,프롬프트의 핵심 요소가 잘 반영됨.,낮에 맞는 밝은 팔레트 사용.,반사 이미지가 없음.,다리 수가 자연스럽고 추가되지 않았음.,한국식 파스텔 그림책 스타일을 잘 반영함.,사람이 없어 평가 대상 아님.,"눈, 코, 귀가 중복 생성되지 않았음.",사실적 렌더링이 혼입되지 않음.,사람이 없어 평가 대상 아님.,공원 배경이 잘 표현되어 있음.,1715,367
20260415_113143_64da8a,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,,1.0,1,0,1,1.0,1.0,1,15,L4,"""""",L4,0.0392,0.019,0.1006,0.0637,,0,강아지의 얼굴이 분명하고 선명함.,이미지 내 강아지가 정확히 한 마리임.,프롬프트의 핵심 장면이 잘 반영됨.,팔레트가 낮 시간대에 맞게 잘 표현됨.,반사/거울 이미지 없음.,다리가 추가 생성되지 않았음.,한국-일본식 파스텔 그림책 스타일을 충실히 따름.,사람의 존재 여부와 관련된 것이 아님.,"눈, 코, 귀가 중복되지 않음.",사실적인 렌더링이 혼입되지 않음.,사람의 얼굴이 명확히 드러나지 않음.,장소와 배경이 잘 표현됨.,1715,378
20260415_135430_4dcd30,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,,0.0,1,0,1,1.0,1.0,1,14,L4,"""prompt_reflected->L3""",L3,0.0426,0.019,0.0999,0.0684,,0,강아지 얼굴이 선명하고 이목구비가 뚜렷하다.,이미지 내 강아지는 정확히 한 마리이다.,프롬프트의 '친구들' 요소가 반영되지 않았다.,밝은 팔레트가 사용되어 낮의 분위기를 잘 살렸다.,반사 또는 거울 이미지는 없다.,다리 수가 자연스럽고 추가 생성되지 않았다.,한국-일본식 파스텔 그림책 스타일이다.,사람이 없으므로 해당 없음.,"눈, 코, 귀가 중복 생성되지 않았다.",사실적 렌더링이 전혀 포함되지 않았다.,사람이 없으므로 해당 없음.,생일 파티의 실내 환경이 잘 묘사되었다.,1715,376
20260415_150630_acd529,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,,1.0,1,0,1,1.0,1.0,1,15,L4,"""""",L4,0.0415,0.0127,0.096,0.0343,0.0687,0,강아지의 얼굴이 선명하고 왜곡 없이 표현됨.,이미지에 강아지가 정확히 1마리 있음.,햇살 아래 공원 산책이라는 프롬프트가 잘 반영됨.,낮의 밝은 색 팔레트가 적절히 사용됨.,반사나 거울 이미지가 없음.,강아지의 다리 수가 정상적으로 표현됨.,한국-일본식 파스텔 그림책 스타일로 표현됨.,사람이 등장하지 않음.,강아지의 이목구비가 중복되거나 추가되지 않음.,사실적 렌더링이 혼입되지 않음.,사람이 없으므로 해당 없음.,공원 배경이 잘 표현됨.,1716,385
20260415_151718_79edfe,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,,0.0,1,1,1,1.0,1.0,1,15,L4,"""prompt_reflected->L3""",L3,0.0604,0.0086,0.0929,0.0506,0.0533,0,강아지의 얼굴이 선명하고 균형 잡혀 있습니다.,이미지에 강아지가 정확히 한 마리 있습니다.,비 오는 날의 요소가 이미지에 반영되지 않았습니다.,팔레트가 낮 시간대로서 잘 어울립니다.,반사나 거울 효과가 없습니다.,다리 개수와 위치가 자연스럽습니다.,파스텔 그림책 스타일이 잘 적용되었습니다.,사람이 등장하지 않기 때문에 평가하지 않습니다.,"눈, 코, 귀가 중복으로 생성되지 않았습니다.",사실적인 렌더링 요소가 전혀 없습니다.,사람이 없으므로 해당하지 않습니다.,배경이 집의 실내 환경을 잘 반영하고 있습니다.,1715,414
20260415_152316_c486a4,1,1.0,1.0,1.0,0.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,0,1,1.0,1.0,0,15,L4,"""one_dog->L1,no_text->L3""",L1,0.033,0.0172,0.1051,,0.0947,0,강아지 얼굴이 선명하게 그려져 있습니다.,이미지 내 강아지가 두 마리 이상 있습니다.,애견카페에서의 신나는 시간이 잘 반영되어 있습니다.,실내 낮의 팔레트가 적절히 사용되었습니다.,반사 이미지가 없습니다.,다리가 이상 없이 자연스럽게 표현되었습니다.,한국식 파스텔 그림책 스타일로 그려져 있습니다.,사람 표현이 프롬프트와 충돌하지 않습니다.,"눈, 코, 귀가 중복되지 않았습니다.",사실적 렌더링 없이 부드럽게 표현되었습니다.,사람 얼굴이 식별 가능하게 표현되었습니다.,애견카페 배경이 잘 표현되었습니다.,1715,375
20260415_152612_8817b3,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,,1.0,1,0,1,1.0,1.0,1,15,L4,"""""",L4,0.0419,0.0078,0.0636,,,0,강아지 얼굴이 선명하고 왜곡 없이 잘 표현됨,이미지 내 강아지는 정확히 1마리,프롬프트의 핵심 요소인 졸린 강아지가 잘 반영됨,배경의 창밖이 낮임을 나타내며 적절한 팔레트 사용,반사/거울 이미지가 존재하지 않음,다리가 추가 생성되지 않고 정상적으로 표현됨,한국-일본식 파스텔 그림책 스타일에 잘 부합,사람이 없는 이미지,"눈, 코, 귀가 중복 없이 정상적으로 표현됨",사실적 렌더링 요소가 없음,사람이 없는 이미지,"실내, 침대 배경이 정확히 나타남",1712,371
